input_prompt,enhanced_prompt
a forest spirit in frozen tundra,"(forest spirit:1.25) in frozen tundra, Photoreal style, hyper detailed, intricate textures, unreal engine 5, 8k resolution"
a explorer in medieval village,"(explorer:1.25) in medieval village, Vaporwave style, ethereal atmosphere, sharp focus, ray traced, octane render, muted tones"
a robot in medieval village,"(robot:1.25) in medieval village, Cyberpunk style, octane render, dramatic shadows, majestic scale, unreal engine 5"
a demon in underwater city,"(demon:1.25) in underwater city, Photoreal style, masterpiece quality, 8k resolution, ray traced, muted tones"
a dragon in frozen tundra,"(dragon:1.25) in frozen tundra, Dark Fantasy style, 8k resolution, volumetric lighting, hyper detailed, sharp focus"
a dragon in space station,"(dragon:1.25) in space station, Vaporwave style, ethereal atmosphere, ray traced, intricate textures"
a queen in floating island,"(queen:1.25) in floating island, Cinematic style, unreal engine 5, muted tones, ethereal atmosphere"
a goddess in space station,"(goddess:1.25) in space station, Minimalist style, hyper detailed, majestic scale, dramatic shadows"
a monk in underwater city,"(monk:1.25) in underwater city, Cyberpunk style, soft bokeh, ray traced, volumetric lighting, vibrant colors, unreal engine 5"
a monk in frozen tundra,"(monk:1.25) in frozen tundra, Cyberpunk style, ethereal atmosphere, majestic scale, sharp focus"
a dragon in deep forest,"(dragon:1.25) in deep forest, Minimalist style, hyper detailed, dramatic shadows, octane render, soft bokeh, volumetric lighting"
a samurai in mars base,"(samurai:1.25) in mars base, Photoreal style, muted tones, hyper detailed, ray traced, vibrant colors, dramatic shadows"
a forest spirit in floating island,"(forest spirit:1.25) in floating island, Renaissance style, 8k resolution, intricate textures, dramatic shadows, ethereal atmosphere"
a old man in mountain temple,"(old man:1.25) in mountain temple, Cyberpunk style, octane render, majestic scale, volumetric lighting, intricate textures, sharp focus"
a samurai in volcano,"(samurai:1.25) in volcano, Steampunk style, volumetric lighting, 8k resolution, dramatic shadows, majestic scale, intricate textures"
a knight in floating island,"(knight:1.25) in floating island, Photoreal style, volumetric lighting, soft bokeh, sharp focus, muted tones"
a scientist in frozen tundra,"(scientist:1.25) in frozen tundra, Dark Fantasy style, sharp focus, unreal engine 5, ethereal atmosphere"
a cyberpunk girl in underwater city,"(cyberpunk girl:1.25) in underwater city, Impressionist style, soft bokeh, intricate textures, vibrant colors, majestic scale, ethereal atmosphere"
a cat in frozen tundra,"(cat:1.25) in frozen tundra, Dark Fantasy style, sharp focus, majestic scale, intricate textures, ray traced, masterpiece quality"
a wizard in mountain temple,"(wizard:1.25) in mountain temple, Impressionist style, unreal engine 5, soft bokeh, ray traced, muted tones"
a goddess in stellar nebula,"(goddess:1.25) in stellar nebula, Impressionist style, octane render, hyper detailed, ethereal atmosphere, majestic scale, volumetric lighting"
a old man in stellar nebula,"(old man:1.25) in stellar nebula, Cinematic style, soft bokeh, muted tones, sharp focus, majestic scale, intricate textures"
a cat in dreamscape,"(cat:1.25) in dreamscape, Anime style, dramatic shadows, 8k resolution, sharp focus"
a astronaut in deep forest,"(astronaut:1.25) in deep forest, Photoreal style, dramatic shadows, 8k resolution, ray traced, majestic scale"
a scientist in volcano,"(scientist:1.25) in volcano, Steampunk style, unreal engine 5, ethereal atmosphere, 8k resolution, volumetric lighting"
a cyberpunk girl in mars base,"(cyberpunk girl:1.25) in mars base, Impressionist style, ethereal atmosphere, intricate textures, soft bokeh, hyper detailed, vibrant colors"
a astronaut in volcano,"(astronaut:1.25) in volcano, Renaissance style, ethereal atmosphere, sharp focus, hyper detailed"
a monk in desert oasis,"(monk:1.25) in desert oasis, Impressionist style, octane render, ethereal atmosphere, volumetric lighting, sharp focus"
a cyberpunk girl in cybernetic lab,"(cyberpunk girl:1.25) in cybernetic lab, Anime style, vibrant colors, masterpiece quality, octane render"
a old man in ancient ruins,"(old man:1.25) in ancient ruins, Photoreal style, vibrant colors, hyper detailed, majestic scale, 8k resolution"
a dragon in neon city,"(dragon:1.25) in neon city, Photoreal style, ray traced, hyper detailed, majestic scale, masterpiece quality, sharp focus"
a monk in mountain temple,"(monk:1.25) in mountain temple, Vaporwave style, vibrant colors, dramatic shadows, octane render"
a warrior in cybernetic lab,"(warrior:1.25) in cybernetic lab, Cyberpunk style, hyper detailed, ray traced, majestic scale"
a monk in cybernetic lab,"(monk:1.25) in cybernetic lab, Cinematic style, muted tones, unreal engine 5, dramatic shadows, intricate textures"
a monk in neon city,"(monk:1.25) in neon city, Vaporwave style, masterpiece quality, muted tones, dramatic shadows"
a nomad in medieval village,"(nomad:1.25) in medieval village, Minimalist style, vibrant colors, sharp focus, masterpiece quality, 8k resolution, ethereal atmosphere"
a samurai in ancient ruins,"(samurai:1.25) in ancient ruins, Vaporwave style, masterpiece quality, muted tones, ray traced"
a mechanic in frozen tundra,"(mechanic:1.25) in frozen tundra, Cyberpunk style, majestic scale, hyper detailed, masterpiece quality, soft bokeh, octane render"
a dragon in medieval village,"(dragon:1.25) in medieval village, Anime style, intricate textures, unreal engine 5, masterpiece quality, ray traced"
a queen in desert oasis,"(queen:1.25) in desert oasis, Anime style, vibrant colors, ethereal atmosphere, masterpiece quality, sharp focus"
a forest spirit in ancient ruins,"(forest spirit:1.25) in ancient ruins, Dark Fantasy style, 8k resolution, vibrant colors, dramatic shadows, octane render, ethereal atmosphere"
a scientist in space station,"(scientist:1.25) in space station, Cyberpunk style, soft bokeh, 8k resolution, vibrant colors, majestic scale"
a scientist in cybernetic lab,"(scientist:1.25) in cybernetic lab, Cyberpunk style, volumetric lighting, unreal engine 5, ray traced"
a angel in cybernetic lab,"(angel:1.25) in cybernetic lab, Impressionist style, octane render, unreal engine 5, ethereal atmosphere, vibrant colors"
a forest spirit in space station,"(forest spirit:1.25) in space station, Minimalist style, majestic scale, ray traced, 8k resolution"
a mechanic in volcano,"(mechanic:1.25) in volcano, Renaissance style, ray traced, ethereal atmosphere, hyper detailed, vibrant colors, intricate textures"
a explorer in cybernetic lab,"(explorer:1.25) in cybernetic lab, Cyberpunk style, dramatic shadows, hyper detailed, soft bokeh, ray traced, muted tones"
a angel in frozen tundra,"(angel:1.25) in frozen tundra, Cinematic style, ethereal atmosphere, unreal engine 5, intricate textures"
a cat in underwater city,"(cat:1.25) in underwater city, Renaissance style, muted tones, ray traced, volumetric lighting, masterpiece quality, vibrant colors"
a warrior in deep forest,"(warrior:1.25) in deep forest, Anime style, volumetric lighting, intricate textures, unreal engine 5"
a robot in floating island,"(robot:1.25) in floating island, Steampunk style, muted tones, intricate textures, ethereal atmosphere, soft bokeh"
a robot in volcano,"(robot:1.25) in volcano, Photoreal style, vibrant colors, intricate textures, 8k resolution, masterpiece quality"
a scientist in desert oasis,"(scientist:1.25) in desert oasis, Steampunk style, ray traced, unreal engine 5, soft bokeh"
a queen in space station,"(queen:1.25) in space station, Impressionist style, ray traced, hyper detailed, intricate textures, octane render, dramatic shadows"
a scientist in frozen tundra,"(scientist:1.25) in frozen tundra, Minimalist style, ray traced, muted tones, hyper detailed, 8k resolution"
a goddess in deep forest,"(goddess:1.25) in deep forest, Dark Fantasy style, unreal engine 5, octane render, soft bokeh"
a dragon in floating island,"(dragon:1.25) in floating island, Cyberpunk style, vibrant colors, ray traced, sharp focus, majestic scale, intricate textures"
a monk in cybernetic lab,"(monk:1.25) in cybernetic lab, Cyberpunk style, majestic scale, octane render, muted tones, dramatic shadows"
a astronaut in dreamscape,"(astronaut:1.25) in dreamscape, Cyberpunk style, masterpiece quality, sharp focus, soft bokeh, 8k resolution"
a demon in volcano,"(demon:1.25) in volcano, Cyberpunk style, muted tones, majestic scale, 8k resolution"
a warrior in stellar nebula,"(warrior:1.25) in stellar nebula, Steampunk style, octane render, 8k resolution, dramatic shadows"
a mechanic in desert oasis,"(mechanic:1.25) in desert oasis, Renaissance style, 8k resolution, masterpiece quality, dramatic shadows, majestic scale"
a scientist in deep forest,"(scientist:1.25) in deep forest, Steampunk style, intricate textures, majestic scale, 8k resolution, unreal engine 5, volumetric lighting"
a demon in medieval village,"(demon:1.25) in medieval village, Renaissance style, octane render, vibrant colors, ethereal atmosphere, volumetric lighting, 8k resolution"
a queen in space station,"(queen:1.25) in space station, Impressionist style, intricate textures, hyper detailed, volumetric lighting, dramatic shadows"
a forest spirit in cybernetic lab,"(forest spirit:1.25) in cybernetic lab, Cinematic style, soft bokeh, ethereal atmosphere, majestic scale, unreal engine 5, dramatic shadows"
a angel in ancient ruins,"(angel:1.25) in ancient ruins, Dark Fantasy style, soft bokeh, intricate textures, vibrant colors, unreal engine 5, hyper detailed"
a demon in space station,"(demon:1.25) in space station, Cyberpunk style, masterpiece quality, dramatic shadows, sharp focus, 8k resolution, vibrant colors"
a scientist in space station,"(scientist:1.25) in space station, Anime style, unreal engine 5, vibrant colors, muted tones, intricate textures"
a monk in mountain temple,"(monk:1.25) in mountain temple, Dark Fantasy style, octane render, volumetric lighting, hyper detailed, vibrant colors, 8k resolution"
a cat in medieval village,"(cat:1.25) in medieval village, Vaporwave style, majestic scale, sharp focus, volumetric lighting, unreal engine 5"
a cyberpunk girl in cybernetic lab,"(cyberpunk girl:1.25) in cybernetic lab, Renaissance style, majestic scale, soft bokeh, volumetric lighting"
a old man in floating island,"(old man:1.25) in floating island, Renaissance style, unreal engine 5, intricate textures, volumetric lighting, 8k resolution"
a nomad in deep forest,"(nomad:1.25) in deep forest, Photoreal style, vibrant colors, masterpiece quality, volumetric lighting, 8k resolution, dramatic shadows"
a demon in mountain temple,"(demon:1.25) in mountain temple, Renaissance style, sharp focus, soft bokeh, unreal engine 5"
a dragon in stellar nebula,"(dragon:1.25) in stellar nebula, Anime style, hyper detailed, ray traced, sharp focus, unreal engine 5"
a robot in ancient ruins,"(robot:1.25) in ancient ruins, Renaissance style, vibrant colors, muted tones, hyper detailed, ethereal atmosphere, majestic scale"
a nomad in medieval village,"(nomad:1.25) in medieval village, Renaissance style, sharp focus, ray traced, soft bokeh"
a samurai in neon city,"(samurai:1.25) in neon city, Photoreal style, unreal engine 5, octane render, ray traced, soft bokeh"
a warrior in floating island,"(warrior:1.25) in floating island, Photoreal style, muted tones, hyper detailed, vibrant colors, octane render, unreal engine 5"
a warrior in cybernetic lab,"(warrior:1.25) in cybernetic lab, Dark Fantasy style, ray traced, hyper detailed, dramatic shadows, 8k resolution, soft bokeh"
a goddess in cybernetic lab,"(goddess:1.25) in cybernetic lab, Anime style, octane render, masterpiece quality, 8k resolution, unreal engine 5"
a goddess in stellar nebula,"(goddess:1.25) in stellar nebula, Impressionist style, volumetric lighting, 8k resolution, ray traced, muted tones"
a knight in deep forest,"(knight:1.25) in deep forest, Renaissance style, masterpiece quality, muted tones, octane render, unreal engine 5"
a nomad in floating island,"(nomad:1.25) in floating island, Impressionist style, sharp focus, volumetric lighting, soft bokeh"
a angel in floating island,"(angel:1.25) in floating island, Photoreal style, ray traced, octane render, soft bokeh, muted tones"
a scientist in floating island,"(scientist:1.25) in floating island, Cinematic style, octane render, sharp focus, ray traced, soft bokeh, unreal engine 5"
a old man in stellar nebula,"(old man:1.25) in stellar nebula, Dark Fantasy style, intricate textures, volumetric lighting, soft bokeh, ray traced, octane render"
a nomad in ancient ruins,"(nomad:1.25) in ancient ruins, Cinematic style, unreal engine 5, vibrant colors, masterpiece quality, volumetric lighting, soft bokeh"
a nomad in mars base,"(nomad:1.25) in mars base, Vaporwave style, ray traced, unreal engine 5, hyper detailed, sharp focus, octane render"
a old man in dreamscape,"(old man:1.25) in dreamscape, Vaporwave style, hyper detailed, ethereal atmosphere, 8k resolution"
a samurai in mars base,"(samurai:1.25) in mars base, Dark Fantasy style, unreal engine 5, hyper detailed, octane render, 8k resolution, soft bokeh"
a robot in floating island,"(robot:1.25) in floating island, Dark Fantasy style, unreal engine 5, soft bokeh, majestic scale, dramatic shadows, masterpiece quality"
a samurai in cybernetic lab,"(samurai:1.25) in cybernetic lab, Impressionist style, octane render, intricate textures, 8k resolution, volumetric lighting, soft bokeh"
a robot in volcano,"(robot:1.25) in volcano, Cinematic style, volumetric lighting, unreal engine 5, ray traced, intricate textures"
a dragon in neon city,"(dragon:1.25) in neon city, Cyberpunk style, intricate textures, soft bokeh, masterpiece quality"
a cyberpunk girl in volcano,"(cyberpunk girl:1.25) in volcano, Vaporwave style, 8k resolution, ray traced, intricate textures"
a explorer in cybernetic lab,"(explorer:1.25) in cybernetic lab, Vaporwave style, octane render, dramatic shadows, unreal engine 5, volumetric lighting"
a wizard in space station,"(wizard:1.25) in space station, Impressionist style, majestic scale, octane render, muted tones, vibrant colors, masterpiece quality"
a dragon in medieval village,"(dragon:1.25) in medieval village, Minimalist style, ray traced, volumetric lighting, octane render, sharp focus"
a angel in frozen tundra,"(angel:1.25) in frozen tundra, Cinematic style, muted tones, 8k resolution, sharp focus"
a scientist in underwater city,"(scientist:1.25) in underwater city, Steampunk style, ray traced, octane render, vibrant colors, volumetric lighting"
a monk in deep forest,"(monk:1.25) in deep forest, Dark Fantasy style, vibrant colors, volumetric lighting, soft bokeh, 8k resolution, ethereal atmosphere"
a dragon in deep forest,"(dragon:1.25) in deep forest, Minimalist style, intricate textures, octane render, hyper detailed, sharp focus"
a demon in ancient ruins,"(demon:1.25) in ancient ruins, Dark Fantasy style, majestic scale, dramatic shadows, unreal engine 5, ethereal atmosphere"
a dragon in medieval village,"(dragon:1.25) in medieval village, Photoreal style, ray traced, soft bokeh, majestic scale, muted tones"
a robot in deep forest,"(robot:1.25) in deep forest, Steampunk style, octane render, muted tones, ethereal atmosphere, hyper detailed"
a mechanic in desert oasis,"(mechanic:1.25) in desert oasis, Vaporwave style, 8k resolution, ray traced, dramatic shadows, muted tones, masterpiece quality"
a cyberpunk girl in mars base,"(cyberpunk girl:1.25) in mars base, Anime style, soft bokeh, ray traced, unreal engine 5"
a queen in mountain temple,"(queen:1.25) in mountain temple, Photoreal style, dramatic shadows, sharp focus, majestic scale, masterpiece quality, soft bokeh"
a warrior in dreamscape,"(warrior:1.25) in dreamscape, Cinematic style, octane render, ray traced, majestic scale"
a queen in frozen tundra,"(queen:1.25) in frozen tundra, Anime style, unreal engine 5, majestic scale, soft bokeh, vibrant colors, ethereal atmosphere"
a warrior in floating island,"(warrior:1.25) in floating island, Steampunk style, ray traced, masterpiece quality, soft bokeh, unreal engine 5, 8k resolution"
a monk in frozen tundra,"(monk:1.25) in frozen tundra, Impressionist style, majestic scale, intricate textures, volumetric lighting, muted tones"
a monk in frozen tundra,"(monk:1.25) in frozen tundra, Cyberpunk style, volumetric lighting, octane render, masterpiece quality, vibrant colors"
a wizard in neon city,"(wizard:1.25) in neon city, Impressionist style, majestic scale, octane render, hyper detailed, muted tones, volumetric lighting"
a cyberpunk girl in floating island,"(cyberpunk girl:1.25) in floating island, Impressionist style, hyper detailed, ethereal atmosphere, intricate textures"
a wizard in deep forest,"(wizard:1.25) in deep forest, Vaporwave style, hyper detailed, ethereal atmosphere, majestic scale, volumetric lighting, octane render"
a cat in deep forest,"(cat:1.25) in deep forest, Photoreal style, majestic scale, volumetric lighting, ray traced, ethereal atmosphere, dramatic shadows"
a mechanic in ancient ruins,"(mechanic:1.25) in ancient ruins, Anime style, vibrant colors, ray traced, muted tones, volumetric lighting"
a angel in cybernetic lab,"(angel:1.25) in cybernetic lab, Anime style, soft bokeh, masterpiece quality, 8k resolution"
a forest spirit in deep forest,"(forest spirit:1.25) in deep forest, Anime style, 8k resolution, vibrant colors, unreal engine 5"
a scientist in ancient ruins,"(scientist:1.25) in ancient ruins, Cyberpunk style, vibrant colors, octane render, volumetric lighting, dramatic shadows"
a queen in medieval village,"(queen:1.25) in medieval village, Cinematic style, muted tones, majestic scale, ray traced, intricate textures"
a angel in volcano,"(angel:1.25) in volcano, Renaissance style, 8k resolution, muted tones, majestic scale"
a astronaut in neon city,"(astronaut:1.25) in neon city, Steampunk style, unreal engine 5, hyper detailed, soft bokeh"
a monk in medieval village,"(monk:1.25) in medieval village, Anime style, ray traced, ethereal atmosphere, vibrant colors, majestic scale, 8k resolution"
a cat in mountain temple,"(cat:1.25) in mountain temple, Cyberpunk style, ray traced, volumetric lighting, ethereal atmosphere"
a queen in frozen tundra,"(queen:1.25) in frozen tundra, Steampunk style, muted tones, masterpiece quality, vibrant colors, ray traced, soft bokeh"
a angel in desert oasis,"(angel:1.25) in desert oasis, Steampunk style, octane render, muted tones, volumetric lighting"
a explorer in neon city,"(explorer:1.25) in neon city, Cyberpunk style, majestic scale, unreal engine 5, hyper detailed, masterpiece quality"
a queen in stellar nebula,"(queen:1.25) in stellar nebula, Photoreal style, soft bokeh, volumetric lighting, unreal engine 5, muted tones"
a scientist in medieval village,"(scientist:1.25) in medieval village, Minimalist style, ethereal atmosphere, vibrant colors, masterpiece quality"
a wizard in mars base,"(wizard:1.25) in mars base, Minimalist style, octane render, 8k resolution, volumetric lighting, masterpiece quality, ethereal atmosphere"
a old man in stellar nebula,"(old man:1.25) in stellar nebula, Vaporwave style, hyper detailed, muted tones, volumetric lighting"
a demon in stellar nebula,"(demon:1.25) in stellar nebula, Anime style, masterpiece quality, vibrant colors, ethereal atmosphere, muted tones, octane render"
a wizard in neon city,"(wizard:1.25) in neon city, Vaporwave style, dramatic shadows, volumetric lighting, ethereal atmosphere, majestic scale"
a dragon in stellar nebula,"(dragon:1.25) in stellar nebula, Dark Fantasy style, ethereal atmosphere, volumetric lighting, vibrant colors, unreal engine 5, octane render"
a monk in ancient ruins,"(monk:1.25) in ancient ruins, Steampunk style, soft bokeh, hyper detailed, masterpiece quality, majestic scale"
a nomad in floating island,"(nomad:1.25) in floating island, Anime style, 8k resolution, volumetric lighting, vibrant colors, muted tones"
a queen in cybernetic lab,"(queen:1.25) in cybernetic lab, Steampunk style, volumetric lighting, hyper detailed, vibrant colors, 8k resolution, ethereal atmosphere"
a forest spirit in frozen tundra,"(forest spirit:1.25) in frozen tundra, Steampunk style, hyper detailed, 8k resolution, intricate textures"
a cyberpunk girl in stellar nebula,"(cyberpunk girl:1.25) in stellar nebula, Minimalist style, intricate textures, majestic scale, 8k resolution, hyper detailed"
a old man in mountain temple,"(old man:1.25) in mountain temple, Vaporwave style, muted tones, 8k resolution, ethereal atmosphere"
a knight in dreamscape,"(knight:1.25) in dreamscape, Renaissance style, masterpiece quality, majestic scale, unreal engine 5"
a nomad in ancient ruins,"(nomad:1.25) in ancient ruins, Minimalist style, dramatic shadows, muted tones, 8k resolution, hyper detailed"
a goddess in cybernetic lab,"(goddess:1.25) in cybernetic lab, Photoreal style, dramatic shadows, unreal engine 5, hyper detailed, volumetric lighting, soft bokeh"
a mechanic in neon city,"(mechanic:1.25) in neon city, Cinematic style, muted tones, majestic scale, intricate textures, octane render, sharp focus"
a angel in stellar nebula,"(angel:1.25) in stellar nebula, Minimalist style, hyper detailed, unreal engine 5, ray traced"
a dragon in volcano,"(dragon:1.25) in volcano, Impressionist style, 8k resolution, ethereal atmosphere, unreal engine 5, masterpiece quality, dramatic shadows"
a nomad in deep forest,"(nomad:1.25) in deep forest, Cinematic style, volumetric lighting, ray traced, masterpiece quality"
a mechanic in floating island,"(mechanic:1.25) in floating island, Impressionist style, ethereal atmosphere, intricate textures, sharp focus"
a astronaut in floating island,"(astronaut:1.25) in floating island, Minimalist style, sharp focus, intricate textures, majestic scale"
a scientist in stellar nebula,"(scientist:1.25) in stellar nebula, Anime style, masterpiece quality, unreal engine 5, intricate textures, ethereal atmosphere"
a goddess in floating island,"(goddess:1.25) in floating island, Steampunk style, masterpiece quality, majestic scale, 8k resolution"
a queen in cybernetic lab,"(queen:1.25) in cybernetic lab, Dark Fantasy style, muted tones, dramatic shadows, ray traced, octane render"
a queen in stellar nebula,"(queen:1.25) in stellar nebula, Cyberpunk style, ethereal atmosphere, ray traced, volumetric lighting, vibrant colors, hyper detailed"
a warrior in underwater city,"(warrior:1.25) in underwater city, Vaporwave style, dramatic shadows, volumetric lighting, 8k resolution, intricate textures"
a samurai in underwater city,"(samurai:1.25) in underwater city, Steampunk style, muted tones, dramatic shadows, ray traced, vibrant colors, intricate textures"
a mechanic in cybernetic lab,"(mechanic:1.25) in cybernetic lab, Cyberpunk style, intricate textures, muted tones, hyper detailed"
a queen in mars base,"(queen:1.25) in mars base, Renaissance style, soft bokeh, octane render, muted tones"
a nomad in deep forest,"(nomad:1.25) in deep forest, Impressionist style, volumetric lighting, soft bokeh, hyper detailed"
a wizard in ancient ruins,"(wizard:1.25) in ancient ruins, Cyberpunk style, ethereal atmosphere, masterpiece quality, majestic scale, 8k resolution"
a astronaut in neon city,"(astronaut:1.25) in neon city, Anime style, soft bokeh, octane render, dramatic shadows, masterpiece quality, hyper detailed"
a angel in neon city,"(angel:1.25) in neon city, Steampunk style, majestic scale, unreal engine 5, dramatic shadows, octane render, masterpiece quality"
a wizard in mars base,"(wizard:1.25) in mars base, Renaissance style, ray traced, ethereal atmosphere, masterpiece quality"
a scientist in mountain temple,"(scientist:1.25) in mountain temple, Cinematic style, majestic scale, 8k resolution, hyper detailed, ray traced, dramatic shadows"
a goddess in cybernetic lab,"(goddess:1.25) in cybernetic lab, Dark Fantasy style, majestic scale, soft bokeh, muted tones, ethereal atmosphere, octane render"
a goddess in floating island,"(goddess:1.25) in floating island, Steampunk style, sharp focus, dramatic shadows, majestic scale, volumetric lighting"
a dragon in underwater city,"(dragon:1.25) in underwater city, Renaissance style, vibrant colors, masterpiece quality, hyper detailed, muted tones, volumetric lighting"
a explorer in space station,"(explorer:1.25) in space station, Cinematic style, 8k resolution, vibrant colors, intricate textures"
a cyberpunk girl in volcano,"(cyberpunk girl:1.25) in volcano, Impressionist style, majestic scale, vibrant colors, octane render, unreal engine 5"
a dragon in ancient ruins,"(dragon:1.25) in ancient ruins, Photoreal style, intricate textures, octane render, soft bokeh, vibrant colors, 8k resolution"
a old man in floating island,"(old man:1.25) in floating island, Anime style, sharp focus, intricate textures, ethereal atmosphere, hyper detailed, octane render"
a demon in deep forest,"(demon:1.25) in deep forest, Vaporwave style, unreal engine 5, majestic scale, hyper detailed"
a goddess in deep forest,"(goddess:1.25) in deep forest, Cyberpunk style, ray traced, intricate textures, muted tones, unreal engine 5, sharp focus"
a astronaut in ancient ruins,"(astronaut:1.25) in ancient ruins, Anime style, masterpiece quality, octane render, hyper detailed, intricate textures, sharp focus"
a warrior in floating island,"(warrior:1.25) in floating island, Vaporwave style, masterpiece quality, intricate textures, hyper detailed, muted tones, majestic scale"
a cat in underwater city,"(cat:1.25) in underwater city, Anime style, majestic scale, muted tones, sharp focus, dramatic shadows"
a astronaut in dreamscape,"(astronaut:1.25) in dreamscape, Cyberpunk style, hyper detailed, muted tones, majestic scale, soft bokeh"
a samurai in medieval village,"(samurai:1.25) in medieval village, Cinematic style, 8k resolution, soft bokeh, muted tones"
a nomad in deep forest,"(nomad:1.25) in deep forest, Dark Fantasy style, 8k resolution, intricate textures, unreal engine 5, soft bokeh, ethereal atmosphere"
a demon in mountain temple,"(demon:1.25) in mountain temple, Cyberpunk style, ethereal atmosphere, vibrant colors, volumetric lighting, octane render"
a mechanic in stellar nebula,"(mechanic:1.25) in stellar nebula, Dark Fantasy style, hyper detailed, masterpiece quality, volumetric lighting"
a cat in dreamscape,"(cat:1.25) in dreamscape, Vaporwave style, unreal engine 5, sharp focus, octane render"
a cat in underwater city,"(cat:1.25) in underwater city, Photoreal style, volumetric lighting, soft bokeh, octane render"
a astronaut in stellar nebula,"(astronaut:1.25) in stellar nebula, Cyberpunk style, hyper detailed, soft bokeh, octane render"
a demon in deep forest,"(demon:1.25) in deep forest, Dark Fantasy style, volumetric lighting, muted tones, vibrant colors"
a old man in deep forest,"(old man:1.25) in deep forest, Minimalist style, ray traced, vibrant colors, soft bokeh, intricate textures, 8k resolution"
a old man in floating island,"(old man:1.25) in floating island, Steampunk style, ethereal atmosphere, unreal engine 5, soft bokeh"
a dragon in mountain temple,"(dragon:1.25) in mountain temple, Cinematic style, ethereal atmosphere, octane render, 8k resolution, masterpiece quality, sharp focus"
a robot in floating island,"(robot:1.25) in floating island, Cinematic style, soft bokeh, muted tones, 8k resolution"
a astronaut in medieval village,"(astronaut:1.25) in medieval village, Steampunk style, soft bokeh, ray traced, unreal engine 5, dramatic shadows"
a wizard in frozen tundra,"(wizard:1.25) in frozen tundra, Impressionist style, dramatic shadows, octane render, vibrant colors, ray traced, hyper detailed"
a old man in space station,"(old man:1.25) in space station, Renaissance style, majestic scale, volumetric lighting, ray traced, masterpiece quality, hyper detailed"
a angel in stellar nebula,"(angel:1.25) in stellar nebula, Minimalist style, masterpiece quality, 8k resolution, ethereal atmosphere, ray traced"
a queen in dreamscape,"(queen:1.25) in dreamscape, Minimalist style, ethereal atmosphere, hyper detailed, sharp focus, volumetric lighting, masterpiece quality"
a knight in cybernetic lab,"(knight:1.25) in cybernetic lab, Steampunk style, ethereal atmosphere, volumetric lighting, ray traced, 8k resolution, dramatic shadows"
a explorer in volcano,"(explorer:1.25) in volcano, Photoreal style, soft bokeh, vibrant colors, muted tones, majestic scale, ethereal atmosphere"
a explorer in mars base,"(explorer:1.25) in mars base, Anime style, unreal engine 5, octane render, muted tones, ethereal atmosphere, volumetric lighting"
a explorer in volcano,"(explorer:1.25) in volcano, Steampunk style, sharp focus, dramatic shadows, volumetric lighting, vibrant colors"
a goddess in mars base,"(goddess:1.25) in mars base, Photoreal style, ethereal atmosphere, sharp focus, volumetric lighting"
a forest spirit in medieval village,"(forest spirit:1.25) in medieval village, Photoreal style, vibrant colors, octane render, sharp focus, volumetric lighting, soft bokeh"
a demon in neon city,"(demon:1.25) in neon city, Renaissance style, vibrant colors, volumetric lighting, ethereal atmosphere"
a forest spirit in deep forest,"(forest spirit:1.25) in deep forest, Cinematic style, soft bokeh, ray traced, intricate textures"
a demon in mountain temple,"(demon:1.25) in mountain temple, Vaporwave style, muted tones, majestic scale, unreal engine 5, ethereal atmosphere, 8k resolution"
a warrior in deep forest,"(warrior:1.25) in deep forest, Dark Fantasy style, dramatic shadows, 8k resolution, unreal engine 5, volumetric lighting, ray traced"
a scientist in dreamscape,"(scientist:1.25) in dreamscape, Cyberpunk style, hyper detailed, intricate textures, ethereal atmosphere, soft bokeh"
a warrior in cybernetic lab,"(warrior:1.25) in cybernetic lab, Impressionist style, unreal engine 5, octane render, volumetric lighting, soft bokeh"
a wizard in space station,"(wizard:1.25) in space station, Anime style, sharp focus, ethereal atmosphere, majestic scale, soft bokeh, unreal engine 5"
a scientist in stellar nebula,"(scientist:1.25) in stellar nebula, Impressionist style, volumetric lighting, ray traced, sharp focus, masterpiece quality, ethereal atmosphere"
a monk in mountain temple,"(monk:1.25) in mountain temple, Steampunk style, majestic scale, dramatic shadows, ray traced, soft bokeh"
a wizard in dreamscape,"(wizard:1.25) in dreamscape, Cinematic style, ethereal atmosphere, majestic scale, ray traced, vibrant colors"
a forest spirit in mountain temple,"(forest spirit:1.25) in mountain temple, Impressionist style, unreal engine 5, masterpiece quality, intricate textures, ray traced, volumetric lighting"
a nomad in frozen tundra,"(nomad:1.25) in frozen tundra, Renaissance style, unreal engine 5, vibrant colors, hyper detailed, 8k resolution"
a goddess in space station,"(goddess:1.25) in space station, Dark Fantasy style, soft bokeh, sharp focus, intricate textures"
a forest spirit in volcano,"(forest spirit:1.25) in volcano, Vaporwave style, intricate textures, sharp focus, vibrant colors, soft bokeh"
a demon in volcano,"(demon:1.25) in volcano, Steampunk style, ethereal atmosphere, soft bokeh, octane render"
a scientist in underwater city,"(scientist:1.25) in underwater city, Dark Fantasy style, vibrant colors, unreal engine 5, muted tones, masterpiece quality, dramatic shadows"
a astronaut in cybernetic lab,"(astronaut:1.25) in cybernetic lab, Renaissance style, soft bokeh, majestic scale, vibrant colors, ethereal atmosphere"
a warrior in neon city,"(warrior:1.25) in neon city, Cyberpunk style, vibrant colors, soft bokeh, ray traced, majestic scale, dramatic shadows"
